UG,Viz,UG_Viz,Length,Perimetro,Areacortada
1,-1,1.-1,189.733818202,607.4970265,1.565865678
1,935,1.935,325.1811916872,607.4970265,26.205165608
1,957,1.957,92.5820165931,607.4970265,3.159388644
2,-1,2.-1,377.825471872,633.8214055,1.954490026
2,508,2.508,132.851910628,633.8214055,37.578283626
2,4028_R,2.4028_R,123.144023016,633.8214055,2.679797167
6,-1,6.-1,212.709069853,1855.567134,11.87376879
6,7,7.6,407.381538694,1305.523773,17.884945308
6,504,504.6,216.857960324,1320.550569,21.186834964
6,508,6.508,775.242011373,1855.567134,47.49756239
6,517,517.6,222.629412481,1399.765186,19.928862967
6,4033_R,6.4033_R,20.747140843,1855.567134,13.496253569
7,6,7.6,407.381538694,1305.523773,17.884945308
7,18,7.18,501.917637634,1305.523773,15.361276057
7,517,517.7,322.607205073,1399.765186,14.066270695
7,4033_R,7.4033_R,73.6173915217,1305.523773,7.633661297
9,-1,9.-1,1152.45131649,2919.15735,18.61423301
9,17,17.9,824.480154268,1744.896728,27.907871344
9,21,9.21,344.020884166,2919.15735,52.9919973
9,23,23.9,408.81952836,1362.48822,26.263053544
9,25,9.25,157.6201382823,2919.15735,24.460507921
9,4035_R,9.4035_R,31.7653287405,2919.15735,18.633096136
17,-1,17.-1,179.560196001,1744.896728,9.293638334
17,9,17.9,824.480154268,1744.896728,27.907871344
17,21,17.21,740.856377941,1744.896728,43.671402624
18,-1,18.-1,119.197232104,1961.334115,9.350099539
18,7,7.18,501.917637634,1305.523773,15.361276057
18,502,502.18,422.46749313,3640.883962,49.693202119
18,517,517.18,148.057706623,1399.765186,17.405193716
18,583,583.18,238.458890364,5314.005083,31.630982379
18,4032_R,4032_R.18,67.4987441553,913.3268797,11.209357561
18,4033_R,4033_R.18,463.736410552,1060.95087,10.972584318
19,-1,19.-1,994.034353013,2732.096682,19.3556182
19,33,33.19,292.382104884,2440.314616,47.7528599
19,37,37.19,180.673163377,2176.897511,31.41835482
19,271,271.19,57.4327379531,1592.390306,26.539698855
19,272,272.19,606.230570334,1329.262622,28.574609898
19,275,275.19,444.599624448,2586.659986,38.60197619
19,1074,1074.19,156.744128286,997.0419821,23.705948473
21,-1,21.-1,951.613269154,4192.781444,34.37776429
21,9,9.21,344.020884166,2919.15735,52.9919973
21,17,17.21,740.856377941,1744.896728,43.671402624
21,23,23.21,587.589324503,1362.48822,42.026584824
21,25,25.21,132.317093646,1200.897205,40.224039201
21,31,31.21,405.121731507,3930.634614,63.12811344
21,267,267.21,265.85796081,404.6748737,35.351087902
21,4025_LS,21.4025_LS,631.187651789,4192.781444,36.444413202
21,4032_R,4032_R.21,134.21715009,913.3268797,36.237022312
23,9,23.9,408.81952836,1362.48822,26.263053544
23,21,23.21,587.589324503,1362.48822,42.026584824
23,25,23.25,366.079367074,1362.48822,13.495095445
25,-1,25.-1,219.8164616463,1200.897205,5.846274911
25,9,9.25,157.6201382823,2919.15735,24.460507921
25,21,25.21,132.317093646,1200.897205,40.224039201
25,23,23.25,366.079367074,1362.48822,13.495095445
25,4032_R,25.4032_R,85.7158116975,1200.897205,7.705532933
25,4034_R,25.4034_R,239.34833312754,1200.897205,6.202734197
31,-1,31.-1,2470.927971716,3930.634614,28.75034915
31,21,31.21,405.121731507,3930.634614,63.12811344
31,37,37.31,248.628605854,2176.897511,40.81308577
31,45,45.31,102.031301928,2369.107097,50.52979417
